正手 B 左胳膊弯曲角度过大，请减小弯曲程度。
正手 A 完美
预备 B 左胳膊弯曲角度不足，请增加弯曲程度。
预备 C 左胳膊弯曲角度不足，请增加弯曲程度。身体重心前倾过度，请向后退以调整重心。
预备 B 左胳膊弯曲角度不足，请增加弯曲程度。
预备 C 左胳膊弯曲角度不足，请增加弯曲程度。身体重心前倾过度，请向后退以调整重心。
预备 B 左胳膊弯曲角度不足，请增加弯曲程度。
预备 C 左胳膊弯曲角度不足，请增加弯曲程度。身体重心前倾过度，请向后退以调整重心。
预备 B 左胳膊弯曲角度不足，请增加弯曲程度。
预备 C 左胳膊弯曲角度不足，请增加弯曲程度。身体重心前倾过度，请向后退以调整重心。
正手 B 左胳膊弯曲角度过大，请减小弯曲程度。
反手 B 身体重心前倾过度，请向后退以调整重心。
预备 C 左胳膊弯曲角度不足，请增加弯曲程度。身体重心前倾过度，请向后退以调整重心。
反手 B 身体重心前倾过度，请向后退以调整重心。
预备 C 左胳膊弯曲角度不足，请增加弯曲程度。身体重心前倾过度，请向后退以调整重心。
正手 B 左胳膊弯曲角度过大，请减小弯曲程度。
正手 C 左胳膊弯曲角度过大，请减小弯曲程度。身体重心前倾过度，请向后退以调整重心。
反手 C 左胳膊弯曲角度过大，请减小弯曲程度。身体重心前倾过度，请向后退以调整重心。
预备 C 左胳膊弯曲角度不足，请增加弯曲程度。身体重心前倾过度，请向后退以调整重心。
反手 C 左胳膊弯曲角度过大，请减小弯曲程度。身体重心前倾过度，请向后退以调整重心。
正手 A 完美
预备 C 左胳膊弯曲角度不足，请增加弯曲程度。身体重心前倾过度，请向后退以调整重心。
正手 C 左胳膊弯曲角度过大，请减小弯曲程度。身体重心前倾过度，请向后退以调整重心。
正手 B 身体重心前倾过度，请向后退以调整重心。
正手 C 左胳膊弯曲角度过大，请减小弯曲程度。身体重心前倾过度，请向后退以调整重心。
预备 C 左胳膊弯曲角度不足，请增加弯曲程度。身体重心前倾过度，请向后退以调整重心。
反手 C 左胳膊弯曲角度不足，请增加弯曲程度。身体重心前倾过度，请向后退以调整重心。
正手 C 左胳膊弯曲角度过大，请减小弯曲程度。身体重心前倾过度，请向后退以调整重心。
正手 B 左胳膊弯曲角度过大，请减小弯曲程度。
正手 A 完美
正手 B 左胳膊弯曲角度过大，请减小弯曲程度。
正手 B 身体重心前倾过度，请向后退以调整重心。
正手 C 左胳膊弯曲角度过大，请减小弯曲程度。身体重心前倾过度，请向后退以调整重心。
正手 A 完美
正手 B 左胳膊弯曲角度过大，请减小弯曲程度。
正手 B 身体重心前倾过度，请向后退以调整重心。
正手 B 左胳膊弯曲角度过大，请减小弯曲程度。
